Name,Description,Address,Phone,Website,Age
"Abuhatoum, Shireen - Ph.D., C.Psych.","Dr. Abuhatoum provides psychological services (assessment and therapy) to adults with a range of concerns including depression, anxiety, emotion dysregulation, ...","1315 North Service Road East, Oakville, ON, L6H-1A7",905-616-1719,http://www.townpsychology.ca,18-65
"Andres-Lemay, Joy - PhD","Provides psychological assessment, therapy, and consultation services to children, adolescents, and their families.","2525 Old Bronte Rd., Oakville, ON, L6M 4J2",289-837-3777,http://www.oakvillefamilyhealth.com,4-19
"Clarke, Janice - MA","I work with adults during difficult life transitions such as divorce & separation, grief & loss.","465 Morden Road, Oakville, ON, L6K 3W6",289-812-1825,http://www.janicemaetherapy.com,18+
"Ghemraoui, Adam - MA, Psychologist","School and clinical psychological services for children, adolescents, and adults, including assessment and treatment.","112 Rebecca St, Oakville, ON, L6K 1J3",905-581-5002,http://www.gpsych.ca,all
Home Care Assistance (HCA),The Cognitive Therapeutics Method™ The Cognitive Therapeutics Method™ is Home Care Assistance’s proprietary program designed to promote brain health,"2525 Old Bronte Road, Oakville, ON, L6M 4J2",647-992-0224,http://www.homecareassistanceoakville.ca,all
"Kaczmarzyk-Kozlowski, Iwona - MA","Provides psychological assessment and treatment services for children, youth and adults.","603 Argus Road, Oakville, ON, L6J 6G6",905-601-5262,https://www.iwonakpsych.ca/,all
"Palmerio-McIvor, Liana - R.P.,B.A., (cert) OACCPP, C.T.C.",Liana Palmerio-McIvor is a registered Psychotherapist who provides eclectic therapy services since 1994. She works with a network of registered,"603 Argus Road, Oakville, ON, L6J 6G6",416-885-9191,http://www.wellnesscounselling.com,all
THE HALTON CENTRE for Cognitive Therapy & Stress Reduction (HCCT),The primary treatment we provide is Cognitive-Behaviour Therapy (CBT). We assist in the prevention and treatment of mental health problems through ...,"418 North Service Rd. E., Oakville, ON, L5H 5R2",905-901-0597,http://www.haltoncentre.ca,all
Trafalgar Personnel Ltd.,"Trafalgar Personnel Ltd. has been successful in meeting the child and home care needs of Canadian families since 1979. Founded by Marna Martin, the company has","323 Church St, Oakville, ON, L6J 1P2",905-849-6520,http://www.trafalgarpersonnel.com,all
Whiteboard Counselling,"Whiteboard is a modern psychotherapy clinic centrally located in Oakville, Ontario. Our therapists have over two decades’ experience providing support for","300 North Service Road West, Oakville, ON, L6M 2R9",905-208-6463,http://www.whiteboardcounselling.com,12+
