AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED
Central Toronto Youth Services,"65 Wellesley St E, Ste 300, Toronto, ON     M4Y 1G7","Church-Yonge Corridor, 75",416-924-2100,mail@ctys.org,"<a href=""http://www.ctys.org"" target=""_blank"">www.ctys.org</a>","Youth 13-24 years, their families, agencies * may vary by program","Mental health centre for youth * treatment, advocacy, research, education * community development projects * visit website for program details<br><br>
<b>Community Counselling</b> -- individual and group counselling for high-risk, hard-to-serve youth * service provided in the home, neighbourhood or school * includes community and school outreach, group programs, and programs for Black youth * assistance in accessing program -- contact intake worker<br><br>

<b>New Outlook</b> -- for youth and young adults 14-24 years with serious mental illness (primarily psychotic disorders) * day program * early intervention and treatment * long-term case management * support and crisis intervention for youth involved with criminal justice system * youth hostel outreach * intake form available online<br><br>

<b>Pride & Prejudice</b> -- for lesbian, gay, bisexual, transsexual, transgender, queer and questioning youth and young adults experiencing depression or anxiety * individual and group counselling -- issues may include gender identity, sexual orientation, traumatic experiences such as childhood abuse or family violence, homophobia, relationship concerns with family and friends * transition support * group programs<br><br>

<b>Youth Justice</b> -- moderate to high-risk youth serving a youth order and/or with matters before youth court * guidance, counselling and comprehensive support * includes court diversion and open custody programs, early release and transition support * probation outreach program * referral from probation officer","Self, professional or school referral * visit website for information","English - intake , Interpreters may be arranged for other languages , Some translated materials available","Wheelchair accessible automatic main entrance , Easy access to elevator - lowered buttons , Wheelchair accessible washroom, assistance needed with door - sink not roll-under and dispensers are high , All Genders washroom","Office -- Mon-Fri 9 am-6 pm * evening service available for some programs -- call for details * Summer hours:  July and August, 9 am-5 pm","(50) Non Profit , (51) Registered Charity",2015-05-05T04:00:00
Centre for Spanish Speaking Peoples,"2141 Jane St, 2nd Fl, Toronto, ON     M3M 1A2","Downsview-Roding-CFB, 26",416-533-8545,info@spanishservices.org,"<a href=""http://www.spanishservices.org"" target=""_blank"">www.spanishservices.org</a>","Open to all, with focus on Spanish-speaking community","Reception and settlement services * information, counselling and referral * assistance finding housing * help filling citizenship forms or permanent resident card applications * income tax clinic * commissioner of oaths * interpretation and translation services * cultural events, recreation * volunteer opportunities to gain Canadian experience
<br><br>
<b>Women's Program</b>, Intake 416-533-6411 -- for Spanish-speaking women and their children who have experienced domestic abuse * individual crisis counselling and group counselling by telephone or in person * support groups for isolated women and their children * court accompaniment and support * information and orientation about legal rights * workshops * assistance leaving the abusive home, finding transitional housing and applying for social assistance
<br><br>
<b>Seniors' Program</b> -- support group * information and referral * computer classes * guest speakers * recreational and educational activities
<br><br>
<b>Youth Program</b> -- outreach and employment support for youth 13-24 years * counselling and referral * housing help * recreational programs","Drop in, call, fax or email","English , Spanish","Not Accessible , Accessible office available by request",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2015-06-15T04:00:00
Chinese Family Services of Ontario,"3330 Midland Ave, Ste 229, Toronto, ON     M1V 5E7","Milliken, 130",416-979-8299,info@chinesefamilyso.com,"<a href=""http://www.chinesefamilyso.com"" target=""_blank"">www.chinesefamilyso.com</a>","Focus on Chinese community, including youth, women, gays, lesbians, bisexuals, transsexual and transgendered people, seniors, immigrants, and newcomers * Partner Assault Response -- offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence","Counselling, family and settlement services agency<br><br>

<b>Counselling</b> -- individual, group, couple, marital and family counselling for issues such as elder abuse, family violence, wife assault, male batterers, incest, sexual assault, offenders, bereavement, problem gambling, substance abuse * crisis intervention * Youth programs -- counselling and leadership development program for youth 14-24 years * parenting and family life education * Employee Assistance Program * consultation for human service providers * satellite offices in Toronto (340 College Street, Ste 305) and Richmond Hill (15 Wertheim Court, Ste 607)<br><br>

<b>Partner Assault Response (PAR)</b> -- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offenders progress * group counselling in Cantonese, Mandarin and Vietnamese<br><br>

<b>Settlement Program</b> -- orientation and counselling * needs and eligibility assessments * information and referral topics include immigration, issues of concern to refugees and foreign domestic workers, citizenship, social assistance benefits, legal aid, housing, child care, English classes, and education and employment training * interpretation and translation * computer access * job search and employment counselling  * assistance in accessing services<br><br>

<b>Transitional and Housing Support Program</b> -- for women who have experienced violence, and their children * community service information on issues such as housing, legal, financial, health care, immigration, children's services, education, employment * assistance setting up a safety plan * ongoing counselling and support",Call or drop in * Partner Assault Response -- call to schedule an intake/assessment meeting,"English , Chinese (Cantonese) , Chinese (Mandarin) , Interpretation available for other languages","Barrier-free washroom including door and stall , Wheelchair accessible main entrance, assistance needed with door , Parking lot , Satellite offices - accessibility varies, call for details","Mon, Wed, Fri 9 am-5 pm, Tue, Thu 9 am-8:30 pm * recorded information line -- Mon-Sun 24 hours","(50) Non Profit , (51) Registered Charity",2015-05-05T04:00:00
Egale Canada Human Rights Trust,"183 Carlton St, Toronto, ON     M5A 2K7","Moss Park, 73",416-964-7887 ext 9,outreach@egale.ca,"<a href=""http://egale.ca/outreach"" target=""_blank"">egale.ca/outreach</a>","Lesbian, gay, bisexual, trans, intersex, queer, questioning and Two-Spirit (LGBTIQ2S) youth 16-29 years who are homeless, unstably housed, or at risk of homelessness","Drop-in centre and counselling services for LGBTIQ2S youth * intake, assessment and individualized support plan * information and referral -- emergency shelter, housing options * assistance in applying for government health (OHIP) and social assistance programs (OW, ODSP) * assistance in obtaining identification and/or legal support in amending sex markers on official documentation * employment assistance including resume and job search coaching, and referrals * food, TTC tokens and other basic necessities<br><br>

<b>Counselling Centre</b> -- immediate crisis response and counselling * suicide prevention, intervention and follow-up care * individual mental health counselling * group counselling * family counselling * addiction and mental health supports * medical, dental and legal aid referrals * exploration of education opportunities, including high school, postsecondary and trades programs * gender affirmation, community acceptance support and counselling, including transition planning and trans literacy seminars * group discussion, counselling and learning activities","Call, email or drop in",English,"Limited wheelchair accessibility - call for details , Washroom not accessible",Drop-in centre and walk-in counselling -- Mon-Fri 3 pm-7 pm * counselling also by appointment Mon-Fri 11 am-3 pm,"(50) Non Profit , (51) Registered Charity",2015-11-19T05:00:00
Fred Victor,"210 Dundas St W, 4th Fl, Toronto, ON     M5G 2E8","Bay Street Corridor, 76",416-482-4103,,"<a href=""http://www.fredvictor.org"" target=""_blank"">www.fredvictor.org</a>","Support services -- persons 16 years and older with severe mental health problems, and their families * information and mental health promotion services -- members of the public, community groups, agencies","Community mental health organization * direct support services for individuals and their families * information and mental health promotion services * assists agencies and groups in developing client-centred approaches to service delivery<br> <br> 

<b>Community Support Services</b> -- case management including outreach, relationship building, assessment, referrals, support, advocacy * case management for early intervention program clients<br> <br> 

<b>Health Promotion Program</b> -- telephone information on mental health services in Toronto, including housing, treatment options, self help groups, social programs, support groups for families and friends * publishes Making Choices Resource Guide * maintains website with resources and searchable database of mental health services and supports * mental health promotion services to consumer/survivor groups and families, and to programs and agencies that serve people with serious mental health problems * community and organizational development projects * education and training<br> <br> 

<b>Hostel Outreach Program</b> -- flexible, portable support to homeless women who have experienced significant mental health difficulties * outreach * assessment * case management * relationship building * help establishing housing, community contacts, education/vocation, leisure<br> <br> 

<b>Mental Health Court Support Services</b> -- based at Old City Hall and College Park provincial courts * activities to divert people with serious mental health problems charged with low risk offences toward support services in the community * information, consultation and case management * housing support","Call Intake Coordinator, 416-482-4103 ext 316 for details * <b>Community Support Services</b> -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","English , interpreters available for Somali, Tamil and many other languages","Wheelchair accessible automatic main entrance , Easy access to elevator",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2016-02-03T05:00:00
Mood Disorders Association of Ontario,"36 Eglinton Ave W, Ste 602, Toronto, ON     M4R 1A1","Yonge-Eglinton, 100",Telephone Support Line 416-486-8046,info@mooddisorders.ca,"<a href=""http://www.mooddisorders.ca"" target=""_blank"">www.mooddisorders.ca</a>","Individuals 16 years and older dealing with mood disorders (depression, bipolar disorder and related anxiety disorders), their families, friends, health professionals, the public","Information, education and support * counselling and family support * peer support groups -- see website for locations * advocacy * recovery programs, including drop-in services * youth awareness campaign * workshops * peer support and facilitation training * online discussion forums * speakers bureau * library<br><br>

<b>Telephone Information and Peer Support (TIPS) Warmline</b>, 416-486-8046, 1-888-486-8236 -- telephone peer support by trained volunteers with lived experience of mood disorders * <b>no crisis services</b><br><br>

<b>Check Up from the Neck Up</b> -- promotes early identification of mood disorders * see branch record for details<br><br>

<b>Early Psychosis Program</b>, 416-486-8046 ext 225 -- support for youth and young adults 16-35 years with early psychosis, and their families<br><br>

<b>Family Matters Peer Support and Recovery Program</b>, 416-486-8046 ext 240 -- counselling, peer support and recovery services for individuals 16-65 years with mood disorders and/or related complex mental health challenges, and their families<br><br>

<b>Moving Lives Forward Bursary Award</b> -- financial assistance in acquiring additional education or vocational skills * application forms and information available on website<br><br>

<b>Mental Health in the Workplace</b>, 416-486-8046 ext 226 -- presentations, workshops and symposiums on mental health and healthy workplace environments<br><br>

<b>My Mental Health MAP (My Action Plan), <a href=""http://www.mymentalhealthmap.ca"">www.mymentalhealthmap.ca</a></b> -- online individualized planning tool to assist in recovery from depression, anxiety and mood disorders<br><br>

<b>Ontario Peer Support and Recovery Programs</b>, 416-486-8046 ext 223 -- peer support programs in Ontario * also includes Wellness Recovery Action Plan (WRAP), Gaining Autonomy with My Medication (GAM), and Laughing Like Crazy",Self referral * registration required for some programs,English,"Wheelchair accessible automatic main entrance , Easy access to elevator , Barrier-free washroom including door and stall",Mon-Fri 9:30 am-5 pm,"(50) Non Profit , (51) Registered Charity",2014-04-25T04:00:00
Covenant House Toronto,"20 Gerrard St E, Toronto, ON     M5B 2P3","Bay Street Corridor, 76",416-598-4898,general@covenanthouse.ca,"<a href=""http://www.covenanthousetoronto.ca"" target=""_blank"">www.covenanthousetoronto.ca</a>",Homeless and runaway youth 16-24 years,"Crisis intervention centre * residential, non-residential and community support services * education * pastoral ministry * runaway prevention program * day program * community youth meal programs<br><br>

<b>Community Support Services, 416-204-7037</b> -- drop-in for ex-residents and non-residents * hot meal or food package (member of Daily Bread Food Bank) * clothing * hygiene necessities * showers * assessment and referrals * counselling * health care * housing help * literacy * life skills * assistance in finding and keeping a job * legal resources * recreation * street outreach * ID clinic<br><br>

<b>Health Care Services</b> -- primary medical care * diagnostic services * health education * assistance in obtaining medical coverage * referrals * access to family practice doctor and psychiatrist<br><br>

<b><a href=""http://Cov4Youth.ca"">Cov4Youth.ca</a></b>, help@covenanthouse.ca -- online information, fact sheets and advice on youth issues and homelessness * searchable resource directory of services","Call or drop in * food bank -- at initial intake assessment discussion, income and address information, and identification for household members, may be requested -- call for details","English , French , Spanish , Other languages may be available","Designated parking at entrance - unloading only , Easy access to elevator - side entrance , Barrier-free washroom including door and stall - main program area , Wheelchair accessible washroom, assistance needed with door - 3rd floor , Wheelchair accessibl","Emergency Intake -- Mon-Sun 24 hours<br>
<b>Drop-in</b> -- Mon-Tue, Thu 1:15 pm-7 pm, Wed 1:15 pm-8 pm, Fri 1:15 pm-5 pm<br>
<b>Food bank</b> -- Fri 1:30 pm-4:30 pm<br>
<b>Meal programs:</b>  lunch -- Mon-Tue, Thu 1:15 pm-4 pm * supper -- Mon-Thu 4 pm-7 p","(50) Non Profit , (51) Registered Charity",2015-08-28T04:00:00
Davenport Perth Neighbourhood and Community Health Centre,"1900 Davenport Rd, Toronto, ON     M6N 1B7","Weston-Pellam Park, 91",416-656-8025,info@dpnchc.ca,"<a href=""http://www.dpnchc.com"" target=""_blank"">www.dpnchc.com</a>",Varies per program,"Multiservice community centre, including health centre and neighbourhood programs * volunteer opportunities<br><br>

<b>Adult Services</b> -- for adults who may be isolated, marginalized, new to Canada, non-status, have experienced addiction issues, the psychiatric system, and/or are at risk of eviction * <b>Drop in</b> -- Monday, Thursday 1 pm-4 pm<br><br>

<b>Child and Youth Programs</b> -- for children 6-12 years * summer and March break day camps * after school recreation programs and field trips * homework club * for youth 11-24 years * social, recreation, education and arts activities * leadership training * life skills<br><br>

<b>Community Dining</b> -- nutritious meals * nominal cost * access to community services * <b>Monday supper 4:30 pm-6 pm (November-April)</b><br><br>

<b>Community Health Centre 416-658-6812</b> -- call for appointment * individual and family medical and nursing services * palliative care * psychiatric services * counsellor therapists * mental health and addictions counsellor therapist * community dietitian * physiotherapist * doctor on call Monday-Sunday 24 hours * house calls when appropriate * health education and promotion * outreach to isolated persons * community action on identified community health issues * no Ontario Health Insurance required for general services -- some limitations apply<br><br>

<b>Crisis Support and Intervention</b> -- Monday-Friday * call for an appointment<br><br>

<b>Ontario Early Years Centre -- Davenport</b>, local lead agency for Ontario Early Years Centres * early learning and literacy * parenting * parent relief * child care training * school readiness * information and referral * Growing Up Healthy Downtown (see separate entry) -- for children birth-6 years<br><br>

<b>Peer Street Outreach</b> -- Tuesday 3 pm-7 pm, Wednesday 11 am-3 pm * support * harm reduction supplies and information<br><br>

<b>Seniors Program</b> -- 55 years and older * health education * advocacy * social, education and recreation activities * Italian and Portuguese women's groups * Spanish-speaking group * arts, fitness, trips/outings<br><br>

<b>Settlement Program</b> -- counselling and settlement services for status and non-status newcomers * workshops <br><br>

<b>EdgeWest Youth Clinic</b> -- 416 652-4363 * positive health care * mental health support and referrals * sex-positive health information and services * birth control * STI testing",Call or visit * appointments required for some programs * no referral required,"English , Chinese (Mandarin) , Italian , Portuguese , Spanish , interpreters for other languages available for medical and settlement services","Designated parking at entrance , Wheelchair accessible automatic main entrance , Easy access to elevator - lowered buttons , Dedicated accessible washroom with all features","<b>Community services</b> -- Mon-Thu 9 am-9 pm, Fri 9 am-5 pm <br> 
<b>Monday supper</b> -- 4:30 pm-6 pm<br>
<b>Medical services</b> -- Mon-Wed 9 am-8 pm, Thu 1 pm-5 pm, Fri 9 am-5 pm <br>
<b>Community dining</b> -- throughout the year: supper Wed 5 pm-6","(50) Non Profit , (51) Registered Charity",2015-10-02T04:00:00
Delisle Youth Services,"40 Orchard View Blvd, Ste 255, Toronto, ON     M4R 1B9","Yonge-Eglinton, 100",416-482-0081,info@delisleyouth.org,"<a href=""http://www.delisleyouth.org"" target=""_blank"">www.delisleyouth.org</a>","Youth 13-21 years with mental health issues or complex special needs, and their families","Child and youth mental health multiservice agency * community services including counselling, day treatment, residential treatment * for day and residential treatment, see branch records<br><br> 

<b>Counselling services</b> -- individual and family counselling for concerns related to social, emotional and behavioural needs * referrals to medical and social services<br><br> 

<b>Residential Placement Advisory Committee</b> -- reviews placement of children who reside within the jurisdiction * also reviews placement of children 12 years and older who object to their placement * information on availability of resources<br><br>

<b>STARS @ The Studio</b> -- youth drop-in program * LGBTQ positive space","Call, email or visit website for information",English,"Designated parking at entrance - also street parking , Wheelchair accessible automatic main entrance , Easy access to elevator - lowered buttons and braille features , Barrier-free washroom including door and stall","<b>STARS @ The Studio drop-in</b> -- Mon-Thu 3 pm-7:45 pm, <b>LGBTQ drop-in</b> -- 1st Friday of each month * day and evening counselling appointments available","(50) Non Profit , (51) Registered Charity",2015-11-26T05:00:00
Hincks-Dellcrest Centre,"1645 Sheppard Ave W, Toronto, ON     M3M 2X4","York University Heights, 27",416-924-1164,info@hincksdellcrest.org,"<a href=""http://www.hincksdellcrest.org"" target=""_blank"">www.hincksdellcrest.org</a>",Children and youth birth-17 years and their families,"Children's mental health centre * <b>nonresidential treatment</b> -- individual, family and group counselling, art and play therapy, day treatment, parent training, community support * <b>residential treatment</b> for children 7-14 years * group homes and treatment programs for older youth under Youth Criminal Justice Act * <b>prevention and early intervention program</b> -- home visiting, children's groups, parent groups, parent and child activities, parenting counselling, individual support for children * variety of school and community-based programs * child focused consultation and training<br><br> 

<b>Mobile resource centre</b> -- family resource program, information and support service including toy lending library<br><br> 

<b>Ontario Early Years Centre -- York Centre, 416-633-4035</b> -- early learning and literacy programs for parents and their children * parenting programs<br><br>

See branch entries for additional service locations * local lead agency for Ontario Early Years Centres",Contact intake worker for treatment programs * programs may vary,"English , other languages sometimes available through volunteers, call in advance","Not Accessible - residences and day treatment facilities , Designated parking at entrance , Wheelchair accessible automatic main entrance - main building , Barrier-free washroom including door and stall - main building","Mon-Thu 9 am-9 pm, Fri 8:30 am-4 pm","(50) Non Profit , (51) Registered Charity",2015-03-20T04:00:00
Responsible Gambling Council,"411 Richmond St E, Ste 205, Toronto, ON     M5A 3S5","Moss Park, 73",416-499-9800,mail@rgco.org,"<a href=""http://www.responsiblegambling.org"" target=""_blank"">www.responsiblegambling.org</a>",Open to all,Information on treatment centres and self help groups for people with gambling problems * outreach and public awareness * prevention programs for youth * searchable e-library * interactive website * newsletter,,"English , French - (limited services)",Not Accessible,Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2015-07-21T04:00:00
Empowerment Council: Systemic Advocates in Addiction and Mental Health,"1001 Queen St W, Rm 160, Toronto, ON     M6J 1H4","Niagara, 82",416-535-8501 ext 34022,jennifer.chambers@camh.ca,"<a href=""http://www.empowermentcouncil.ca"" target=""_blank"">www.empowermentcouncil.ca</a>",Clients of the Centre for Addiction and Mental Health (CAMH) * also psychiatric survivors and persons with substance use issues,"Systemic advocacy * ensures representation of the client perspective within the Centre for Addiction and Mental Health (CAMH) * education on choices, self advocacy, critical thinking and political awareness * site meetings for clients * outreach * community development * education for mental health professionals, addiction workers and community members<br><br>
Funded by CAMH, but separately incorporated and independently staffed",Self-referral,English,"Designated parking at entrance , Wheelchair accessible automatic main entrance , Easy access to elevator , Elevator with braille and voice/tone features - lowered buttons , Barrier-free washroom including door and stall",Mon-Fri 9 am-5 pm,(50) Non Profit,2015-07-16T04:00:00
Dixon Hall Neighbourhood Services,"58 Sumach St, Toronto, ON     M5A 3J7","Moss Park, 73",416-863-0499,info@dixonhall.org,"<a href=""http://www.dixonhall.org"" target=""_blank"">www.dixonhall.org</a>",Open to all,"Social, recreation and education programs for low income residents of all ages * summer day camp * Growing Up Healthy Downtown (see separate entry) -- for children birth-6 years * English as a Second Language (ESL) classes * drop-in Monday-Friday 8:30 am-12 noon * breakfast program  Friday 9 am * assistance with budgeting, identification, government forms Monday-Friday 1 pm-4 pm * income tax clinic February-April * Advice Lawyer --  Legal Aid clinic for summary advice Tuesday 7 pm-8 pm by appointment * East Toronto Internet Access (ETIA) -- low-cost Internet access and training including email, for people who are homeless or who have low incomes * community development * youth health promotion worker<br><br>

<b><a href="" http://dixonhallmusicschool.org/"" target=""_blank"">Music and arts programs</a></b> -- individual or group lessons * fees on a sliding scale <br><br> 

<b>Seniors</b> -- social, recreation and fitness programs * health education * home support services -- home help, van shopping, list shopping -- fee * escort to medical appointments, friendly visiting, telephone security check, client intervention and assistance -- free * Mandarin Outreach -- including settlement and newcomer services, social and cultural events, support groups and workshops<br><br>

<b>Supportive Housing Programs for Seniors</b> -- includes personal care, essential homemaking, emergency response, and care coordination * 4 participating buildings -- Old York Tower, Performing Arts Lodge of Canada, Older Women's Network Co-op, New Hibret Co-op<br><br>

<b>High Risk Youth Project</b> -- one-on-one peer counselling * social, recreational, and educational activities",,"English , Chinese (Cantonese) , Chinese (Mandarin) , Spanish",Wheelchair accessible building including main entrance and barrier free washrooms * some off site programs not accessible,"Mon-Thu 8:30 am-8 pm, Fri 8:30 am-4:30 pm * extended hours Tue for Legal Aid clinic","(50) Non Profit , (51) Registered Charity",2014-08-06T04:00:00
East Metro Youth Services,"1200 Markham Rd, Ste 200, Toronto, ON     M1H 3C3","Woburn, 137",416-438-3697,emys@emys.on.ca,"<a href=""http://www.emys.on.ca"" target=""_blank"">www.emys.on.ca</a>","Youth 12-18 years and their families * programs vary, call for details","Adolescent mental health and addiction centre, accredited with Children's Mental Health Ontario (see separate entry) * counselling and case management, developmental services, newcomer programs, violence intervention -- see branch entries<br><br>

<b>Nonresidential treatment and school based programs</b> -- individual and family counselling * support groups for parents * <b>Day Treatment Program</b> -- for youth with emotional, social and behavioural issues affecting their ability to function in school * <b>Priority Access for Schools (PAS) Program</b> and <b>Mental Health Support for Supervised Alternative Learning (SAL)</b> -- 3-6 months counselling and support for youth, and their families * referral from Toronto school boards<br><br>

<b>Residential treatment</b> -- for youth 12-18 years with psychiatric, emotional and/or behavioural and socialization challenges that interfere with their ability to function * includes short term stabilization and assessment program * respite, stabilization and intervention program for youth up to 18 years * Dialectical Behavioural Therapy treatment model * referral through Centralized Access to Residential Services (CARS), 416-482-7884<br><br>

<b>Youth Outreach Worker Program</b> -- assists at-risk youth 12-21 years and their families in navigating and accessing services and supports * coordinate youth activities and services * in collaboration with other community agencies, in 7 under-served East Toronto neighbourhoods",Call or walk in,"English , Chinese (Cantonese) , Chinese (Mandarin) , Dari , Farsi , Tamil , will arrange for interpretation in other languages if necessary","Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall","Mon-Thu 9 am-8 pm, Fri 9 am-5 pm","(50) Non Profit , (51) Registered Charity",2015-06-04T04:00:00
Etobicoke Children's Centre,"65 Hartsdale Dr, Toronto, ON     M9R 2S8","Willowridge-Martingrove-Richview, 7",416-240-1111,ecc@etobicokechildren.com,"<a href=""http://www.etobicokechildren.com"" target=""_blank"">www.etobicokechildren.com</a>","Children birth-16 years at risk for, or already experiencing mental health issues, including psycho-social, emotional, behavioural problems, and their families * also children with a diagnosis of autism, and their families","Children's mental health centre * service coordination, assessment, treatment and consultation services * accredited by Children's Mental Health Ontario, see separate entry * West End Sexual Abuse Treatment Program (WESAT), see separate entry<br><br>

<b>Applied Behavioral Analysis Groups Services</b> --  for eligible children diagnosed with autism * provided through Toronto Autism Applied Behaviour Analysis Services (TA-ABA) * intake through Surrey Place Centre, see separate entry<br><br>

<b>Child Care Consultation Services</b> -- consultation, intensive resourcing and support to licensed child care providers<br><br>

<b>Community Counselling Services</b> -- assessment, counselling and referral services for children who have identified mental health problems, and their families * service coordination for registered centre clients<br><br>

<b>Day School Milieu Treatment Program (DSMTP)</b> -- Section 23 treatment program for children unable to achieve their learning objectives in their community school because of mental health issues * resources and support of multi-disciplinary team from fields of education, counselling, psychology and psychiatry<br><br>

<b>Intensive Behaviour Intervention (IBI)</b> -- for eligible children diagnosed with autism * provided through Toronto Partnership Autism Services (TPAS) * intake through Surrey Place Centre, see separate entry","Call, email or visit website for information * referral by custodial parent or legal guardian, or self-referral by children/youth 12 years and older with capacity to consent to service * service coordination provided for centre clients only","English , Interpretation arranged for other languages","Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall","Mon-Thu 8:30 am-8 pm, Fri 8:30 am-6 pm * some services may be available Saturday, call for details","(50) Non Profit , (51) Registered Charity",2015-02-03T05:00:00
LOFT Community Services,"721 Bloor St W, Ste 103/302, Toronto, ON     M6G 1L5","Palmerston-Little Italy, 80",Intake 416-708-3374,tay@loftcs.org,"<a href=""http://www.loftcs.org"" target=""_blank"">www.loftcs.org</a>",Youth 16-26 years with mental health or substance use challenges,"Case management * assistance to find housing, help navigating the social services or health care systems, advocacy, referral to appropriate services * additional, specialized supports also available<br><br>

Community Evening and Weekend Treatment Program -- support groups during early evening and weekend hours when people with mental health or addiction issues are often vulnerable * in partnership with Centre for Addictions and Mental Health, and Sick Children's Hospital","Email for information

Residential program or Peer Support Housing program -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application",English,Unknown,,"(50) Non Profit , (51) Registered Charity",2015-10-12T04:00:00
Centre francophone de Toronto,"555 Richmond St W, 3rd Fl, Toronto, ON     M5V 3B1","Waterfront Communities-The Island, 77",416-922-2672,infos@centrefranco.org,"<a href=""http://www.centrefranco.org"" target=""_blank"">www.centrefranco.org</a>","French-speaking people living, working, studying or visiting in Toronto","<b>Child and Family Services</b> -- drop-in centre for mothers and children birth-6 years * nutrition services with individual counselling * vaccinations and aftercare
* prenatal and postnatal services <br><br>

<b>Pas  Pas (Prenatal Nutrition Program)</b> -- for pregnant or new mothers
* prenatal and postnatal nutrition counselling for recently arrived mothers 
* child development counselling for parents of children aged birth-6 years 
* free clothing bank for children birth-12 years <br><br>

<b>Children's Mental Health Program</b> -- includes child mental health counselling for ages birth-6 years * service coordination * individual or family therapy * family support <br><br>

<b>Infant Development Program</b> -- for parents with concerns about the development of their children's motor skills, autonomy, social interaction, and ability to communicate * counselling * family support * service coordination * day care consultation <br><br>

<b>Ici pour aider (Here to Help)</b> -- individual sessions for children 4-16 years who have been exposed to woman abuse <br><br>

<b>Program espace jeunesse and mental health service</b> for youth 7-18 years *  individual and family assessments * therapy and counselling * school support services * workshops -- program also offered at Black Creek Community Centre, Yorkgate Mall, 1 Yorkgate Blvd, room 202 -- call for detail and to make an appointment 416-922-2672 ext 290 <br><br>

<b>Passerelle Program (Children's Day Treatment Centre)</b> <b>French-language Day Treatment Centre</b> -- program offered at cole Ste-Madeleine, 1 Ness Drive, Toronto<br>
* program for children 6-12 years with behavioural, emotional or social disorders 
* educational and therapeutic services delivered in a school setting 
* individual or group assessment and treatment for eligible children
* family support
<br><br>

<b>Centre de la petite enfance (Early Childhood Centre)</b> --
gathering place for parents and children birth-6 years
* language development using games and songs
* psychomotor development activities
* child socialization, parent support groups and parenting education * 
<b>Le Coin de la petite enfance (Early Years Corner)</b> -- parents and tots program * recreational activities including gymnastics for kids and outings * African moms group",By appointment,"French , French - Designated Agency under the French Language Services Act","Wheelchair accessible automatic main entrance , Elevator with braille and voice/tone features , Barrier-free washroom including door and stall , Designated underground parking (entrance on Adelaide St) and street parking close to the entrance","Mon-Tue, Fri 8:30 am-5 pm, Wed-Thu 8:30 am-8 pm, Sat 9 am-1 pm","(50) Non Profit , (51) Registered Charity",2016-03-04T05:00:00
George Hull Centre for Children and Families,"81 The East Mall, 3rd Fl, Toronto, ON     M8Z 5W3","Islington-City Centre West, 14",416-622-8833,reachus@georgehullcentre.on.ca,"<a href=""http://www.georgehullcentre.on.ca"" target=""_blank"">www.georgehullcentre.on.ca</a>","Children and youth, birth-18 years, with behavioural, emotional, psychiatric, or family and interpersonal problems","Community-based children's mental health centre * local lead agency for Ontario Early Years Centres * participates in Toronto Preschool Speech and Language Services (West Quadrant) -- see separate entry<br><br>

<b>Boys House and Libby's Place</b> -- residential treatment for youth 12-18 years<br><br>

<b>Community Clinic</b> -- multidisciplinary consultation, outpatient assessment and individual, family and group treatment and support<br><br>

<b>Clear Directions Program</b> -- day treatment program for adolescents with substance abuse and mental health problems, in collaboration with Breakaway Addiction Services and Toronto District School Board, see separate entries<br><br>

<b>Family Group Conferencing</b> -- culturally-sensitive, alternative approach to child protection * extended family group members participate in the decision-making process to ensure the safety and well-being of children at risk or in need of protection<br><br>

<b>Highfield Community Enrichment Project</b> -- school-based family support and community development programs at Highfield Junior School -- see separate entry<br><br>

<b>School Program</b> -- day treatment program for children and youth with acute or chronic behavioural or emotional difficulties<br><br>

<b>Special Needs Resourcing</b> -- consultation and support to child care centres to enhance their ability to serve children with special needs",Contact Intake at 416-622-8833 ext 258,"English , French - (interpreters) , Amharic , Italian , Spanish , Tamil , Tigrinya , Urdu , interpreters available","Wheelchair accessible main entrance, assistance needed with door , Lot parking","Mon-Thu 8:30 am-7 pm, Fri 8:30 am-5 pm","(50) Non Profit , (51) Registered Charity",2015-06-02T04:00:00
