,,,"Milton [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,       5,,       0,,       0,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,       5,,       0,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       5,,       0,,       0,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,   33455,,   16180,,   17275,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,    3185,,    1595,,    1590,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,       5,,       0,,       0,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       5,,       5,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,      30,,      20,,      15,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,       0,,       0,,       5,,    1445,,     720,,     730,
"Mother tongue","            Somali",,      30,,      15,,      10,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,    3150,,    1580,,    1570,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,      20,,      10,,      10,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,    2890,,    1455,,    1430,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,     105,,      50,,      50,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,      20,,       5,,      10,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       0,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,      15,,      10,,      10,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,      65,,      35,,      35,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,      25,,      15,,      10,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,      15,,      10,,      10,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,     465,,     210,,     255,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,      15,,      10,,      10,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,     445,,     200,,     240,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,    2050,,     870,,    1175,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       5,,       5,,       5,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      75,,      25,,      40,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       5,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,      20,,      10,,      10,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,      30,,      15,,      15,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,     110,,      45,,      65,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      45,,      15,,      25,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    1760,,     750,,    1015,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       5,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,      80,,      45,,      35,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       5,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,      55,,      30,,      25,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,      20,,      10,,      10,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,    1230,,     615,,     615,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,      45,,      25,,      20,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,     250,,     125,,     125,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,     700,,     345,,     350,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,     230,,     120,,     110,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,      10,,       5,,       5,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,   23560,,   11495,,   12060,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,     150,,      70,,      80,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,      30,,      15,,      15,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,    3890,,    1830,,    2060,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      40,,      20,,      20,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      10,,      10,,       5,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,      25,,      15,,      10,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,    3855,,    1810,,    2045,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,      60,,      25,,      30,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,      70,,      40,,      35,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,     545,,     280,,     260,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,      65,,      20,,      40,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,     100,,      45,,      55,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    1925,,     885,,    1040,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,     460,,     205,,     260,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,     310,,     150,,     165,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,      25,,      15,,      10,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,      50,,      25,,      25,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,      35,,      15,,      20,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,     210,,     105,,     105,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       0,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,       5,,      10,,       0,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       0,,       0,,       0,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       5,,       5,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,     555,,     265,,     285,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      25,,      10,,      15,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      35,,      15,,      15,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     145,,      75,,      75,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,       0,,       5,,       0,,    1240,,     630,,     620,
"Mother tongue","            German",,     320,,     145,,     170,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,       5,,       5,,       5,,     940,,     405,,     540,
"Mother tongue","            Swedish",,       5,,       5,,       5,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      10,,       0,,       0,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       0,,       5,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,     215,,     100,,     115,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,   13380,,    6650,,    6730,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,   12475,,    6195,,    6275,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,     350,,     180,,     180,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,     785,,     380,,     405,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,     885,,     430,,     450,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,      15,,       5,,       5,,     345,,     170,,     175,
"Mother tongue","              Konkani",,      40,,      15,,      20,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      85,,      40,,      40,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,      60,,      30,,      25,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,      10,,       5,,       5,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,    1905,,     945,,     960,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,     135,,      65,,      70,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,     120,,      60,,      60,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,    8095,,    4040,,    4055,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,     870,,     435,,     430,,  139675,,   70270,,   69405,
"Mother tongue","              Kurdish",,      25,,      20,,      10,,    6665,,    3615,,    3050,
"Mother tongue","              Pashto",,     170,,      85,,      85,,   10950,,    5630,,    5315,
"Mother tongue","              Persian (Farsi)",,     670,,     335,,     335,,  122070,,   61025,,   61040,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,      40,,      20,,      25,,    2565,,    1350,,    1215,
"Mother tongue","          Italic (Romance) languages",,    5335,,    2565,,    2775,,  614525,,  295030,,  319490,
"Mother tongue","            Catalan",,       0,,       0,,       0,,     285,,     150,,     135,
"Mother tongue","            Italian",,    1030,,     535,,     500,,  231040,,  112440,,  118600,
"Mother tongue","            Portuguese",,    1395,,     680,,     715,,  150000,,   72280,,   77715,
"Mother tongue","            Romanian",,     370,,     175,,     190,,   41755,,   19565,,   22190,
"Mother tongue","            Spanish",,    2540,,    1170,,    1370,,  191025,,   90390,,  100630,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,       0,,       0,,       5,,     420,,     200,,     215,
"Mother tongue","        Japanese",,      50,,      20,,      30,,   13260,,    4590,,    8670,
"Mother tongue","        Kartvelian languages",,       5,,       0,,       0,,    1200,,     635,,     565,
"Mother tongue","          Georgian",,       0,,       0,,       0,,    1200,,     635,,     565,
"Mother tongue","        Korean",,     330,,     160,,     170,,   69775,,   32035,,   37740,
"Mother tongue","        Mongolic languages",,       0,,       0,,       0,,     405,,     180,,     220,
"Mother tongue","          Mongolian",,       0,,       0,,       0,,     405,,     180,,     225,
"Mother tongue","        Niger-Congo languages",,     245,,     120,,     130,,   35760,,   16705,,   19050,
"Mother tongue","          Akan (Twi)",,      65,,      35,,      30,,    9695,,    4510,,    5190,
"Mother tongue","          Bamanankan",,       0,,       0,,       0,,     140,,      60,,      80,
"Mother tongue","          Edo",,       0,,       0,,       0,,    1140,,     475,,     670,
"Mother tongue","          Ewe",,       5,,       0,,       5,,     560,,     270,,     295,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,     365,,     180,,     185,
"Mother tongue","          Ga",,      10,,       5,,      10,,     600,,     275,,     325,
"Mother tongue","          Ganda",,       5,,       5,,       5,,     760,,     360,,     400,
"Mother tongue","          Igbo",,      10,,       5,,      10,,    2090,,    1080,,    1010,
"Mother tongue","          Lingala",,       5,,       0,,       0,,     850,,     365,,     485,
"Mother tongue","          Rundi (Kirundi)",,       5,,       5,,       5,,    1430,,     640,,     785,
"Mother tongue","          Kinyarwanda (Rwanda)",,       0,,       0,,       0,,    1330,,     545,,     785,
"Mother tongue","          Shona",,      20,,      15,,       5,,    1455,,     660,,     790,
"Mother tongue","          Swahili",,      25,,      15,,      15,,    5525,,    2540,,    2985,
"Mother tongue","          Wolof",,       5,,       0,,       5,,     290,,     145,,     150,
"Mother tongue","          Yoruba",,      50,,      30,,      20,,    4365,,    2260,,    2105,
"Mother tongue","          Niger-Congo languages; n.i.e.",,      25,,      10,,      15,,    5155,,    2345,,    2810,
"Mother tongue","        Nilo-Saharan languages",,      10,,       5,,       5,,    1610,,     810,,     800,
"Mother tongue","          Dinka",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,      10,,       0,,       5,,    1260,,     635,,     625,
"Mother tongue","        Sign languages",,     100,,      50,,      55,,    3030,,    1570,,    1455,
"Mother tongue","          American Sign Language",,      85,,      45,,      45,,    1305,,     640,,     670,
"Mother tongue","          Quebec Sign Language",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Sign languages; n.i.e",,      20,,      10,,      10,,    1700,,     925,,     780,
"Mother tongue","        Sino-Tibetan languages",,    1765,,     805,,     960,,  611795,,  284865,,  326935,
"Mother tongue","          Chinese languages",,    1745,,     795,,     950,,  602610,,  280340,,  322270,
"Mother tongue","            Cantonese",,     540,,     240,,     295,,  275315,,  128090,,  147220,
"Mother tongue","            Hakka",,      10,,       5,,       0,,    6985,,    3140,,    3840,
"Mother tongue","            Mandarin",,    1095,,     500,,     595,,  283735,,  132275,,  151460,
"Mother tongue","            Min Dong",,       5,,       0,,       0,,     855,,     405,,     450,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,      50,,      25,,      30,,   13545,,    6240,,    7300,
"Mother tongue","            Wu (Shanghainese)",,      20,,      10,,      10,,    6300,,    2825,,    3470,
"Mother tongue","            Chinese; n.o.s.",,      25,,      15,,      15,,   15645,,    7235,,    8410,
"Mother tongue","            Chinese languages; n.i.e.",,       5,,       0,,       0,,     240,,     120,,     120,
"Mother tongue","          Tibeto-Burman languages",,      15,,      10,,       5,,    9185,,    4520,,    4660,
"Mother tongue","            Burmese",,       0,,       0,,       0,,    1640,,     775,,     865,
"Mother tongue","            Karenic languages",,       0,,       0,,       0,,    1730,,     865,,     860,
"Mother tongue","            Tibetan",,      15,,      10,,       5,,    5115,,    2530,,    2585,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,       5,,       0,,       0,,     700,,     345,,     350,
"Mother tongue","        Tai-Kadai languages",,      30,,       5,,      20,,    8485,,    3535,,    4945,
"Mother tongue","          Lao",,      15,,       5,,       5,,    5190,,    2480,,    2710,
"Mother tongue","          Thai",,      15,,       0,,      15,,    3270,,    1045,,    2220,
"Mother tongue","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      25,,      10,,      15,
"Mother tongue","        Turkic languages",,     165,,      85,,      85,,   22615,,   11745,,   10870,
"Mother tongue","          Azerbaijani",,       0,,       5,,       0,,    1990,,    1070,,     920,
"Mother tongue","          Turkish",,     140,,      65,,      80,,   18415,,    9610,,    8810,
"Mother tongue","          Uyghur",,      10,,      10,,       5,,     515,,     255,,     260,
"Mother tongue","          Uzbek",,       0,,       5,,       5,,    1055,,     515,,     545,
"Mother tongue","          Turkic languages; n.i.e.",,       5,,       0,,       0,,     640,,     295,,     345,
"Mother tongue","        Uralic languages",,     185,,     100,,      90,,   50670,,   23095,,   27570,
"Mother tongue","          Estonian",,       5,,       5,,       0,,    4205,,    1810,,    2400,
"Mother tongue","          Finnish",,      25,,      10,,      10,,    9720,,    4140,,    5580,
"Mother tongue","          Hungarian",,     155,,      80,,      75,,   36740,,   17150,,   19590,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Other languages; n.i.e.",,       5,,       5,,       5,,    1475,,     780,,     690,
"Mother tongue","  Multiple responses",,    4960,,    2465,,    2495,,  365910,,  176250,,  189660,
"Mother tongue","    English and French",,     330,,     150,,     185,,   54045,,   25165,,   28880,
"Mother tongue","    English and non-official language",,    4375,,    2205,,    2170,,  288285,,  140345,,  147940,
"Mother tongue","    French and non-official language",,     100,,      40,,      60,,   12565,,    5735,,    6830,
"Mother tongue","    English; French and non-official language",,     150,,      75,,      80,,   11010,,    5000,,    6005,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19,  100970,,   49760,,   51210,,13312865,, 6503875,, 6808990,
"Language spoken most often at home","  Single responses",,   90675,,   44620,,   46055,,12522045,, 6123955,, 6398085,
"Language spoken most often at home","    Official languages",,   74550,,   36865,,   37685,,10605725,, 5214425,, 5391300,
"Language spoken most often at home","      English",,   73870,,   36540,,   37335,,10328680,, 5084885,, 5243800,
"Language spoken most often at home","      French",,     680,,     320,,     355,,  277045,,  129540,,  147500,
"Language spoken most often at home","    Non-official languages",,   16130,,    7760,,    8370,, 1916315,,  909530,, 1006780,
"Language spoken most often at home","      Aboriginal languages",,       0,,       0,,       0,,    9210,,    4600,,    4610,
"Language spoken most often at home","        Algonquian languages",,       0,,       0,,       0,,    8685,,    4370,,    4320,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Cree-Montagnais languages",,       0,,       0,,       0,,    2370,,    1205,,    1165,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","            Moose Cree",,       0,,       0,,       0,,      10,,      10,,       5,
"Language spoken most often at home","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Language spoken most often at home","            Northern East Cree",,       0,,       0,,       0,,      20,,      10,,      15,
"Language spoken most often at home","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Swampy Cree",,       0,,       0,,       0,,     105,,      50,,      55,
"Language spoken most often at home","            Woods Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","            Cree; n.o.s.",,       0,,       0,,       0,,    2220,,    1135,,    1085,
"Language spoken most often at home","          Eastern Algonquian languages",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Mi'kmaq",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,    6305,,    3155,,    3145,
"Language spoken most often at home","            Algonquin",,       0,,       0,,       0,,       5,,       0,,       0,
