,,,"Oakville, Town [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Family characteristics","  Couples with children",,   31155,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,   10135,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,   15300,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    5715,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    7130,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    4000,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,    2395,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,     730,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   18765,,    7315,,   11450,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   66270,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,   51500,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   15150,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   36355,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,    1645,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   13125,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   11760,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    1365,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  192725,,   93250,,   99470,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,  166370,,   82025,,   84345,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,     150,,      60,,      90,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,   22850,,    9845,,   13005,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,    3355,,    1320,,    2030,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  192725,,   93250,,   99475,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,  183795,,   89450,,   94340,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    3480,,    1540,,    1940,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,    2145,,     960,,    1180,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,    3305,,    1300,,    2010,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    4555,,    2020,,    2530,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    2.4,,    2.2,,    2.5,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  192725,,   93250,,   99475,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,  186735,,   90375,,   96360,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,  126900,,   62225,,   64675,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,  123565,,   60740,,   62825,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    3340,,    1485,,    1850,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,   59840,,   28150,,   31685,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,       5,,       5,,       5,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,       5,,       5,,       0,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       5,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       5,,       0,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,       0,,       5,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,   59830,,   28150,,   31685,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,    5085,,    2540,,    2540,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,      10,,       5,,       5,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       0,,       5,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,      10,,       0,,       5,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,      55,,      25,,      35,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,       5,,       0,,      10,,    1445,,     720,,     730,
"Mother tongue","            Somali",,      50,,      25,,      25,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,    5010,,    2510,,    2500,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,      20,,      10,,      10,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,    4635,,    2345,,    2290,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,     115,,      45,,      65,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,      70,,      30,,      40,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       0,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,      50,,      30,,      20,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,      80,,      35,,      50,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,      15,,      10,,       5,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,      20,,      10,,      10,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      10,,       5,,       5,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,     485,,     210,,     270,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,       5,,       0,,       5,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,     480,,     205,,     270,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,    2250,,     815,,    1435,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       5,,       0,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      85,,      30,,      50,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,      15,,       5,,       5,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,      75,,      30,,      45,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,     115,,      45,,      65,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      20,,       5,,      15,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       5,,       0,,       5,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    1900,,     680,,    1225,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       5,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,      30,,      10,,      15,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,      50,,      20,,      25,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,      25,,      10,,      15,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,      15,,      10,,      15,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,     760,,     370,,     390,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,      40,,      20,,      15,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,     165,,      75,,      90,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,     430,,     210,,     220,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,     125,,      60,,      65,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,       5,,       0,,       5,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,   36905,,   17515,,   19385,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,     285,,     140,,     145,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,     175,,      85,,      95,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,   11390,,    5250,,    6140,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,     260,,     105,,     155,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      80,,      30,,      50,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,     185,,      75,,     110,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,   11130,,    5140,,    5985,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,      15,,      10,,       5,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,      95,,      45,,      50,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,     290,,     145,,     145,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,    1835,,     875,,     960,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     245,,     105,,     145,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,     400,,     190,,     210,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    3355,,    1520,,    1835,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,    1975,,     885,,    1085,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,    1395,,     675,,     720,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,     135,,      55,,      75,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,     390,,     190,,     200,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,     150,,      55,,      95,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,     835,,     380,,     455,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,      20,,      10,,      10,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      25,,      10,,      15,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,      10,,       0,,       0,,     450,,     210,,     240,
"Mother tongue","            Welsh",,      10,,       5,,       5,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       0,,       5,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    2670,,    1230,,    1440,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,     205,,      90,,     115,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,     105,,      45,,      55,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     575,,     290,,     285,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,       5,,       0,,       5,,    1240,,     630,,     620,
"Mother tongue","            German",,    1640,,     745,,     900,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,      30,,      10,,      15,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      70,,      35,,      40,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      30,,      10,,      20,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       5,,       0,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,     620,,     305,,     310,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,    9670,,    4720,,    4950,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,    7970,,    3890,,    4080,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,     325,,     165,,     165,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,     685,,     320,,     365,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,    1205,,     580,,     630,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,      25,,      10,,      20,,     345,,     170,,     175,
"Mother tongue","              Konkani",,      80,,      35,,      45,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      80,,      40,,      45,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,      20,,       5,,      15,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,      20,,      10,,       5,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,    2375,,    1175,,    1200,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,      95,,      45,,      50,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,     225,,     110,,     120,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,    2835,,    1395,,    1440,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,    1655,,     805,,     850,,  139675,,   70270,,   69405,
"Mother tongue","              Kurdish",,      40,,      20,,      25,,    6665,,    3615,,    3050,
"Mother tongue","              Pashto",,     285,,     130,,     155,,   10950,,    5630,,    5315,
